zone,investment_priority,investment_type,estimated_investment_amount,expected_roi_percent,risk_level,investment_timeline
Udyog Bhawan,High Priority,Moderate Growth Investment,50000,481.04534482758635,High Risk,Short-term (3-6 months)
Sarojini Nagar,High Priority,Moderate Growth Investment,50000,538.9290636363637,High Risk,Short-term (3-6 months)
Paschim Vihar,High Priority,Moderate Growth Investment,50000,501.32995999999997,High Risk,Short-term (3-6 months)
Kadarpur,Medium-High Priority,Moderate Growth Investment,50000,435.8471315789474,High Risk,Short-term (3-6 months)
Azadpur,High Priority,Moderate Growth Investment,50000,211.50585714285705,Medium Risk,Short-term (3-6 months)
Nehru Place,Medium-High Priority,Moderate Growth Investment,50000,493.03268253968236,High Risk,Short-term (3-6 months)
Central Secretariat,Medium-High Priority,Moderate Growth Investment,50000,370.48912307692297,High Risk,Short-term (3-6 months)
Rajiv Nagar,High Priority,Moderate Growth Investment,50000,265.86666666666673,Medium Risk,Short-term (3-6 months)
Hauz Rani,High Priority,Moderate Growth Investment,50000,224.55513636363648,High Risk,Short-term (3-6 months)
Saket,High Priority,Moderate Growth Investment,50000,349.547153846154,Medium Risk,Short-term (3-6 months)
Panchsheel Park,High Priority,Moderate Growth Investment,50000,317.07410655737715,High Risk,Short-term (3-6 months)
Sadar Bazar Gurgaon,Medium-High Priority,Moderate Growth Investment,50000,442.80502830188675,High Risk,Short-term (3-6 months)
Pataudi Chowk,High Priority,Moderate Growth Investment,50000,232.98132835820877,Medium Risk,Short-term (3-6 months)
DLF City Court,High Priority,Moderate Growth Investment,50000,181.40806338028167,Medium Risk,Short-term (3-6 months)
Manesar,High Priority,Moderate Growth Investment,50000,323.8291212121211,High Risk,Short-term (3-6 months)
Qutub Minar,High Priority,Moderate Growth Investment,50000,231.84436507936522,High Risk,Short-term (3-6 months)
IIT Delhi,High Priority,Moderate Growth Investment,50000,135.10081506849315,Medium Risk,Short-term (3-6 months)
Rohini East,Medium-High Priority,Moderate Growth Investment,50000,285.808,High Risk,Short-term (3-6 months)
Malviya Nagar,Medium-High Priority,Moderate Growth Investment,50000,430.94264285714274,High Risk,Short-term (3-6 months)
Uttam Nagar,High Priority,Moderate Growth Investment,50000,240.11986666666672,High Risk,Short-term (3-6 months)
Gwal Pahari,High Priority,Moderate Growth Investment,50000,173.8248484848484,High Risk,Short-term (3-6 months)
Rajouri Garden,High Priority,Moderate Growth Investment,50000,113.63368000000006,Medium Risk,Short-term (3-6 months)
Munirka,Medium-High Priority,Moderate Growth Investment,50000,105.39580769230763,High Risk,Short-term (3-6 months)
Ardee City,High Priority,Moderate Growth Investment,50000,241.36416666666673,Medium Risk,Short-term (3-6 months)
Paharganj,Medium-High Priority,Moderate Growth Investment,50000,197.22047945205472,High Risk,Short-term (3-6 months)
Satguru Ram Singh Marg,High Priority,Moderate Growth Investment,50000,199.21691176470603,Medium Risk,Short-term (3-6 months)
Welcome,High Priority,Moderate Growth Investment,50000,149.949161971831,Medium Risk,Short-term (3-6 months)
ITO,High Priority,Moderate Growth Investment,50000,331.59807377049185,Medium Risk,Short-term (3-6 months)
Pitampura,Medium-High Priority,Moderate Growth Investment,50000,346.07706896551724,High Risk,Short-term (3-6 months)
Rohini,High Priority,Moderate Growth Investment,50000,181.95432835820898,High Risk,Short-term (3-6 months)
Sushant Lok,Medium-High Priority,Moderate Growth Investment,50000,365.7765,High Risk,Short-term (3-6 months)
Jahangirpuri,High Priority,Moderate Growth Investment,50000,182.23897887323957,Medium Risk,Short-term (3-6 months)
Rohini West,High Priority,Moderate Growth Investment,50000,204.9801470588236,Medium Risk,Short-term (3-6 months)
Mehrauli,Medium-High Priority,Moderate Growth Investment,50000,119.85495999999995,High Risk,Short-term (3-6 months)
Ashok Park Main,Medium-High Priority,Moderate Growth Investment,50000,371.03210000000007,High Risk,Short-term (3-6 months)
Hauz Khas,High Priority,Moderate Growth Investment,50000,175.51965384615374,Medium Risk,Short-term (3-6 months)
Sarai Kale Khan,High Priority,Moderate Growth Investment,50000,166.7801944444445,Medium Risk,Short-term (3-6 months)
Bhikaji Cama Place,Medium-High Priority,Moderate Growth Investment,50000,187.12143939393923,High Risk,Short-term (3-6 months)
Govindpuri,High Priority,Moderate Growth Investment,50000,193.4662631578946,High Risk,Short-term (3-6 months)
