zone,recommendation,expansion_priority,expansion_type,timeline,estimated_budget,expected_roi_percent,investment_risk
Udyog Bhawan,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39647.8,582.7586206896552,Low
Sarojini Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41100.700000000004,627.2727272727274,Low
Paschim Vihar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39047.4,620.0000000000001,Low
Kadarpur,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40997.700000000004,503.5087719298243,Low
Azadpur,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39646.200000000004,242.85714285714275,Low
Nehru Place,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41744.200000000004,560.3174603174601,Low
Central Secretariat,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39976.200000000004,438.46153846153834,Low
Rajiv Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41160.0,294.44444444444423,Low
Hauz Rani,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40416.3,251.51515151515156,Low
Saket,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42246.600000000006,382.05128205128204,Low
Panchsheel Park,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42052.100000000006,345.90163934426226,Low
Sadar Bazar Gurgaon,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),37606.1,571.6981132075471,Low
Pataudi Chowk,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),45070.200000000004,219.40298507462663,Low
DLF City Court,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42063.100000000006,184.50704225352123,Low
Manesar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39398.200000000004,387.8787878787877,Low
Qutub Minar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39077.0,274.60317460317447,Low
IIT Delhi,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38567.1,154.7945205479452,Low
Rohini East,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40992.100000000006,320.58823529411774,Low
Malviya Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),42074.700000000004,480.95238095238074,Low
Uttam Nagar,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39244.6,283.33333333333326,Low
Gwal Pahari,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),38452.0,206.06060606060592,Low
Rajouri Garden,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41083.4,110.00000000000003,Low
Munirka,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),39075.3,112.82051282051266,Low
Ardee City,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40963.700000000004,266.66666666666674,Low
Paharganj,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),41327.8,209.58904109589022,Low
Satguru Ram Singh Marg,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40693.5,217.6470588235293,Low
Welcome,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),40796.3,156.33802816901388,Low
ITO,Moderate growth - maintain current operations with minor optimizations,70,Moderate Expansion,Medium-term (3-6 months),43516.5,345.9016393442624,Low
