zone,investment_priority_score,investment_priority,investment_type,recommended_action,estimated_investment_amount,expected_roi_percent,expected_payback_months,investment_timeline,risk_level,risk_factors,key_performance_indicators,success_metrics,required_resources,growth_category,current_metrics
Udyog Bhawan,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,481.04534482758635,2.4945673269743365,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 79.54366365405305, 'volume_index': 88.30347734457324, 'revenue': 396478.0, 'market_share': 0.5586666666666666}"
Sarojini Nagar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,538.9290636363637,2.226638125439244,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 76.53468993193414, 'volume_index': 89.35721812434141, 'revenue': 411007.0, 'market_share': 0.5653333333333334}"
Paschim Vihar,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,501.32995999999997,2.3936331273718414,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 76.52037199643466, 'volume_index': 86.9336143308746, 'revenue': 390474.0, 'market_share': 0.5499999999999999}"
Kadarpur,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,435.8471315789474,2.7532589136304484,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 76.13571767725058, 'volume_index': 88.93572181243414, 'revenue': 409977.0, 'market_share': 0.5626666666666666}"
Azadpur,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,211.50585714285705,5.673601744227282,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 74.90592922397222, 'volume_index': 89.2518440463646, 'revenue': 396462.0, 'market_share': 0.5646666666666667}"
Nehru Place,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,493.03268253968236,2.433915727084515,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 74.87896030594777, 'volume_index': 93.25605900948368, 'revenue': 417442.0, 'market_share': 0.59}"
Central Secretariat,69.81818181818181,Medium-High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,370.48912307692297,3.238961484304762,Short-term (3-6 months),High Risk,Low market share; Inconsistent growth,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 73.90662027843588, 'volume_index': 88.40885142255004, 'revenue': 399762.0, 'market_share': 0.5593333333333333}"
Rajiv Nagar,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,265.86666666666673,4.513540621865596,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 72.30319676367047, 'volume_index': 93.15068493150685, 'revenue': 411600.0, 'market_share': 0.5893333333333334}"
Hauz Rani,72.54545454545455,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,224.55513636363648,5.343899139571509,Short-term (3-6 months),High Risk,High growth volatility; Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 72.27547837951641, 'volume_index': 89.56796628029505, 'revenue': 404163.0, 'market_share': 0.5666666666666667}"
Saket,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,349.547153846154,3.4330132195216083,Short-term (3-6 months),Medium Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 72.26220512902299, 'volume_index': 98.10326659641728, 'revenue': 422466.0, 'market_share': 0.6206666666666667}"
Panchsheel Park,71.18181818181819,High Priority,Moderate Growth Investment,Moderate growth - maintain current operations with minor optimizations,50000,317.07410655737715,3.784604214544559,Short-term (3-6 months),High Risk,Low market share,Ride volume; Revenue growth; Customer satisfaction,Sustained growth rate >15%; Increased driver supply by 25%; Reduced customer wait time by 20%,Additional drivers; Marketing budget; Management oversight,Medium Growth,"{'growth_index': 70.31793989562001, 'volume_index': 92.3076923076923, 'revenue': 420521.0, 'market_share': 0.584}"
